case_id	window_id	measure_index	evidence_id	record_type	record_id	onset_qn	duration_qn	voice_id	detail
CASE-8JQJ	W1	0	E001	measure			3		meter=3/4;key_fifths=2;barlines=none|regular;volta=none
CASE-8JQJ	W1	0	E001	rest	EV0001	0	1	V01	articulations=
CASE-8JQJ	W1	0	E001	note	EV0002	0	2	V02	pitch=D3;tie=none;grace=none;articulations=;ornaments=
CASE-8JQJ	W1	0	E001	note	EV0003	0	2	V02	pitch=F#3;tie=none;grace=none;articulations=;ornaments=
CASE-8JQJ	W1	0	E001	note	EV0004	1	3/4	V01	pitch=A4;tie=none;grace=none;articulations=;ornaments=
CASE-8JQJ	W1	0	E001	note	EV0005	7/4	1/4	V01	pitch=B4;tie=none;grace=none;articulations=;ornaments=
CASE-8JQJ	W1	0	E001	note	EV0006	2	1	V01	pitch=A4;tie=none;grace=none;articulations=;ornaments=
CASE-8JQJ	W1	0	E001	rest	EV0007	2	1	V02	articulations=
CASE-8JQJ	W1	1	E002	measure			3		meter=3/4;key_fifths=2;barlines=regular|regular;volta=none
CASE-8JQJ	W1	1	E002	rest	EV0008	0	1/2	V01	articulations=
CASE-8JQJ	W1	1	E002	note	EV0009	0	2	V02	pitch=C#3;tie=none;grace=none;articulations=;ornaments=
CASE-8JQJ	W1	1	E002	note	EV0010	0	2	V02	pitch=E3;tie=none;grace=none;articulations=;ornaments=
CASE-8JQJ	W1	1	E002	note	EV0011	1/2	1/2	V01	pitch=G5;tie=none;grace=none;articulations=;ornaments=
CASE-8JQJ	W1	1	E002	note	EV0012	1	1/2	V01	pitch=F#5;tie=none;grace=none;articulations=;ornaments=
CASE-8JQJ	W1	1	E002	note	EV0013	3/2	1/2	V01	pitch=E5;tie=none;grace=none;articulations=;ornaments=
CASE-8JQJ	W1	1	E002	note	EV0014	2	1/2	V01	pitch=D5;tie=none;grace=none;articulations=;ornaments=
CASE-8JQJ	W1	1	E002	rest	EV0015	2	1	V02	articulations=
CASE-8JQJ	W1	1	E002	note	EV0016	5/2	1/2	V01	pitch=C#5;tie=none;grace=none;articulations=;ornaments=
CASE-8JQJ	W1	2	E003	measure			3		meter=3/4;key_fifths=2;barlines=regular|regular;volta=none
CASE-8JQJ	W1	2	E003	note	EV0017	0	3/4	V01	pitch=F#4;tie=none;grace=none;articulations=;ornaments=inverted_mordent
CASE-8JQJ	W1	2	E003	note	EV0018	0	1	V02	pitch=D3;tie=none;grace=none;articulations=;ornaments=
CASE-8JQJ	W1	2	E003	note	EV0019	3/4	1/4	V01	pitch=G4;tie=none;grace=none;articulations=;ornaments=
CASE-8JQJ	W1	2	E003	note	EV0020	1	1	V01	pitch=A4;tie=none;grace=none;articulations=;ornaments=
CASE-8JQJ	W1	2	E003	note	EV0021	1	1	V02	pitch=F#2;tie=none;grace=none;articulations=;ornaments=
CASE-8JQJ	W1	2	E003	note	EV0022	2	1	V01	pitch=D4;tie=none;grace=none;articulations=;ornaments=
CASE-8JQJ	W1	2	E003	note	EV0023	2	1	V02	pitch=F#3;tie=none;grace=none;articulations=;ornaments=
